comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
Mit Überschrift&comma; die aus der Nennung des Sternzeichens besteht,-1,100,75,10:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106507,2,,,,,,216,,,,,12806,2022-09-28 15:28:46
Innerhalb des längeren Textes wird handeln nur die letzten paar Zeilen von dem Thema.Es wird mehrfach die Sternenkonstellation Libar genannt&comma; obwohl das Thema „Pisces“ ist,-1,50,25,24:11,1,-1,-1,-1,-1,-1,-1,-1,25,50,90,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,106306,1,,,,,,15,,,,,12806,2022-09-28 15:52:59
Größtenteils zu lange Sätze,-1,50,50,16:40,1,-1,-1,-1,-1,-1,-1,-1,100,75,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106337,1,,,,,,46,,,,,12806,2022-09-28 16:09:40
Der Ausdruck passt  „Otherwise“ hier nicht&comma; dadurch entsteht ein (kleiner) Bruch,-1,75,75,9:35,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106455,2,,,,,,164,,,,,12806,2022-10-02 15:23:45
Wiederholung von:  retrograde in Virgo trines Pluto retrograde in Capricorn  etc.Inhalt wirkt etwas unzusammenhängend und nicht gut nachvollziehbar,-1,50,25,13:21,1,-1,-1,-1,-1,-1,-1,-1,75,50,90,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,106307,1,,,,,,16,,,,,12806,2022-10-02 15:37:07
Text endet mit ;),-1,100,50,9:20,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106373,3,,,,,,82,,,,,12806,2022-10-02 15:46:28
-1,-1,75,50,19:0,1,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106295,1,,,,,,4,,,,,12806,2022-10-02 16:05:29
Etwas &quot;Endzeit-mäßig&quot;  und negativ von der Stimmung her,-1,75,25,9:12,0,-1,-1,-1,-1,-1,-1,-1,100,0,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106383,3,,,,,,92,,,,,12806,2022-10-02 16:14:42
Der Aussage entsprechend eine passende Wortwahl genutzt,-1,100,100,10:20,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106472,2,,,,,,181,,,,,12806,2022-10-02 16:25:03
-1,-1,100,75,7:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106449,2,,,,,,158,,,,,12806,2022-10-02 16:32:53
Sätze zu lang,-1,100,50,7:24,0,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106364,1,,,,,,73,,,,,12806,2022-10-02 16:40:18
Gut formuliert;  der Aussage entsprechend eine passende Wortwahl genutzt. Aber die Sätze zu lang&comma; trotzdem flüssig zu lesen,-1,100,100,11:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106429,3,,,,,,138,,,,,12806,2022-10-02 16:52:03
-1,-1,100,100,21:55,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106432,3,,,,,,141,,,,,12805,2022-10-04 00:35:11
-1,-1,100,100,1:17,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106474,2,,,,,,183,,,,,12805,2022-10-04 10:56:08
-1,-1,100,100,10:26,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106315,1,,,,,,24,,,,,12805,2022-10-04 11:06:39
-1,-1,100,100,0:35,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106462,2,,,,,,171,,,,,12805,2022-10-04 11:07:15
-1,-1,100,100,2:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106398,3,,,,,,107,,,,,12805,2022-10-04 11:09:39
-1,-1,100,100,1:42,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106356,1,,,,,,65,,,,,12805,2022-10-04 11:11:27
-1,-1,100,100,5:11,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106383,3,,,,,,92,,,,,12805,2022-10-04 11:16:40
-1,-1,75,75,6:35,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106296,1,,,,,,5,,,,,12805,2022-10-04 12:10:29
-1,-1,100,100,1:38,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106469,2,,,,,,178,,,,,12805,2022-10-04 12:12:09
-1,-1,100,100,2:37,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106434,3,,,,,,143,,,,,12805,2022-10-04 12:14:47
The horoscope covers two days of the week specifically&comma; but leaves other days unattended,-1,100,100,6:24,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106342,1,,,,,,51,,,,,12805,2022-10-04 12:21:13
-1,-1,100,100,0:35,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106496,2,,,,,,205,,,,,12805,2022-10-04 12:21:49
-1,-1,100,100,0:43,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106442,2,,,,,,151,,,,,12805,2022-10-04 12:22:34
Mit Überschrift&comma; die aus der Nennung des Sternzeichens besteht.Sternzeichen im Text explizit genannt,-1,100,50,8:39,1,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106367,3,,,,,,76,,,,,12806,2022-10-04 13:27:41
-1,-1,50,50,15:12,1,-1,-1,-1,-1,-1,-1,-1,100,75,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106339,1,,,,,,48,,,,,12806,2022-10-04 13:42:55
Der Text-Aussage entsprechend eine passende Wortwahl genutzt,-1,100,100,15:1,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106487,2,,,,,,196,,,,,12806,2022-10-04 13:57:57
-1,-1,100,75,16:26,1,-1,-1,-1,-1,-1,-1,-1,100,50,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106421,3,,,,,,130,,,,,12806,2022-10-04 14:14:25
-1,-1,75,50,28:59,0,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106342,1,,,,,,51,,,,,12806,2022-10-04 14:43:25
-1,-1,100,100,1:43,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106418,3,,,,,,127,,,,,12805,2022-10-04 15:32:58
The second part is not explicitly about love,-1,75,100,11:21,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106293,1,,,,,,2,,,,,12805,2022-10-04 15:44:20
-1,-1,100,100,1:33,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106417,3,,,,,,126,,,,,12805,2022-10-04 15:45:55
-1,-1,100,100,2:35,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106511,2,,,,,,220,,,,,12805,2022-10-04 15:48:32
-1,-1,100,100,3:14,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106316,1,,,,,,25,,,,,12805,2022-10-04 15:51:48
-1,-1,100,100,3:34,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106305,1,,,,,,14,,,,,12805,2022-10-04 15:55:23
-1,-1,100,100,0:37,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106490,2,,,,,,199,,,,,12805,2022-10-04 15:56:01
-1,-1,100,100,0:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106370,3,,,,,,79,,,,,12805,2022-10-04 15:56:52
